,Comment,Likes,channel,Comment_preprocessing
0,영상미가너무예뻐요ㅜㅜ공부도열심히하시구넘넘대단하셔요,0,daily,영상미가너무예뻐요ㅜㅜ공부도열심히하시구넘넘대단하셔요
1,데일리님영상만돌려보면서엄청기다렸어요ㅜㅜ너무보고싶었고분위기짱이에요,2,daily,데일리님영상만돌려보면서엄청기다렸어요ㅜㅜ너무보고싶었고분위기짱이에요
2,데일리님브이로그가제일분위기도예쁘고재밌어요,3,daily,데일리님브이로그가제일분위기도예쁘고재밌어요
3,언니완전이뻐요ㅠㅠ,1,daily,언니완전이뻐요ㅠㅠ
4,방소개영상찍어주세요,1,daily,방소개영상찍어주세요
5,열심히사시는모습이멋집니다,0,daily,열심히사시는모습이멋집니다
6,데일리님ㅜㅜ방소개영상하나찍어주심안될까요데일리님방이너무감성적이고예뻐서참고하고싶어요,0,daily,데일리님ㅜㅜ방소개영상하나찍어주심안될까요데일리님방이너무감성적이고예뻐서참고하고싶어요
7,아니ㅜㅜ이렇게엄청난분께서왜안뜨시는지ㅜㅠㅠ제발좀많은분들이아셨으면하는바램입니다,4,daily,아니ㅜㅜ이렇게엄청난분께서왜안뜨시는지ㅜㅠㅠ제발좀많은분들이아셨으면하는바램입니다
8,완전힐링되고공부자극되네요ㅎㅎ오설록동백꽃피는곶자왈이였나그거맛있더라구요,0,daily,완전힐링되고공부자극되네요ㅎㅎ오설록동백꽃피는곶자왈이였나그거맛있더라구요
9,영상너무이뻐요ㅜㅜ저도공부자극이좀되는거같아용ㅋㅋㅋㅋ혹시분초에나오는옷자켓정보알수있을까요ㅠㅠ앗그리고자켓밑에는치마인가용둘다정보알려주실수있나요ㅠㅠ,2,daily,영상너무이뻐요ㅜㅜ저도공부자극이좀되는거같아용ㅋㅋㅋㅋ혹시분초에나오는옷자켓정보알수있을까요ㅠㅠ앗그리고자켓밑에는치마인가용둘다정보알려주실수있나요ㅠㅠ
10,가을이아니라겨울인듯거의롱패딩입어도추워요나만그래,0,daily,가을이아니라겨울인듯거의롱패딩입어도추워요나만그래
11,썸넬스트라이프티셔츠정보알려주실수있으세요,3,daily,썸넬스트라이프티셔츠정보알려주실수있으세요
12,에서입으신옷들정보궁금해요,1,daily,에서입으신옷들정보궁금해요
13,왔다왔어영상내가존버타던거,1,daily,왔다왔어영상내가존버타던거
14,혹시키가몇인지알슈있을까요,1,daily,혹시키가몇인지알슈있을까요
15,바지정보알수있을까요,1,daily,바지정보알수있을까요
16,같은인데왜저는이런거죠,1,daily,같은인데왜저는이런거죠
17,와빨랐다,5,daily,와빨랐다
18,슈붕실망이야시언,2,daily,슈붕실망이야시언
0,분위기넘예뻐요중간중간나오는소품이랑가구들너무예뻐요앞으로감성브이로그는여기로정착해야겠어요ㅎ,36,daily,분위기넘예뻐요중간중간나오는소품이랑가구들너무예뻐요앞으로감성브이로그는여기로정착해야겠어요ㅎ
1,감성적이고너무예뻐요ㅠㅠ항상영상잘보고있어요,12,daily,감성적이고너무예뻐요ㅠㅠ항상영상잘보고있어요
2,내가이런친구랑수능을봐야하는구나,308,daily,내가이런친구랑수능을봐야하는구나
3,진짜감성이제스탈입니당,3,daily,진짜감성이제스탈입니당
4,이나이때철학과새내기같은생각하느라감성이고나발이고였는데멋있다진짜,1,daily,이나이때철학과새내기같은생각하느라감성이고나발이고였는데멋있다진짜
5,오랜만이네요데일리님역시감성공주님이시라니까,13,daily,오랜만이네요데일리님역시감성공주님이시라니까
6,우와영상너무감성적이고이쁜데요ㅠㅠㅠㅠㅠ,3,daily,우와영상너무감성적이고이쁜데요ㅠㅠㅠㅠㅠ
7,오늘도진짜감성짱이에요ㅠㅠ디저트너무맛있어보여요ㅇㅁㅇ,3,daily,오늘도진짜감성짱이에요ㅠㅠ디저트너무맛있어보여요ㅇㅁㅇ
8,약간힐링되는브이로그라서빨리흥행하시면좋겠네요,3,daily,약간힐링되는브이로그라서빨리흥행하시면좋겠네요
9,책상너무예뻐요ㅠㅠ님이랑수능같이봐야되는년생임다뜬금없지만룸투어영상찍어주세요오ㅗ방도예쁠거같아유,0,daily,책상너무예뻐요ㅠㅠ님이랑수능같이봐야되는년생임다뜬금없지만룸투어영상찍어주세요오ㅗ방도예쁠거같아유
10,영상너무예뻐요,1,daily,영상너무예뻐요
11,아분위기너무이뻐요,0,daily,아분위기너무이뻐요
12,참이쁜브이로그네요,0,daily,참이쁜브이로그네요
13,언니너무이뻐요ㅠㅠ,2,daily,언니너무이뻐요ㅠㅠ
14,와우감성미쳤어요구독하고가겠습니다,1,daily,와우감성미쳤어요구독하고가겠습니다
15,책상에있는달력정보알수있을까요영상분위기너무좋고이뻐요ㅠㅠ잘보고갑니다,0,daily,책상에있는달력정보알수있을까요영상분위기너무좋고이뻐요ㅠㅠ잘보고갑니다
16,탁상달력정보시금합니다ㅠㅜ예ㅃ버요,0,daily,탁상달력정보시금합니다ㅠㅜ예ㅃ버요
17,어떻게이렇게인스타갬성갬성하지부럽다,0,daily,어떻게이렇게인스타갬성갬성하지부럽다
18,와ㅏ오늘학교끝나자마자왔어용항상잘보고있어요ㅠㅠㅠㅠ사랑해요ㅠㅠ,3,daily,와ㅏ오늘학교끝나자마자왔어용항상잘보고있어요ㅠㅠㅠㅠ사랑해요ㅠㅠ
19,인간실격읽으시는구나어땠는지감상평들어보고싶네요,0,daily,인간실격읽으시는구나어땠는지감상평들어보고싶네요
