,순위,부제목,제목,상세보기링크,이벤트 정보,가격,추가정보,저자,출판사,출판연도
0,1,서울대 소비트렌드 분석센터의 2022 전망,트렌드 코리아 2022,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788959897001,"['무료배송', '이벤트', '오늘의책', '소득공제']","도서16,200원[10%↓ +5% 적립]|eBook12,600원","지금 주문하면내일(22일,금)도착 예정입니다",김난도전미영최지혜이향은이준영,미래의창,2021년10월06일
1,2,아주 작은 날갯짓의 시작,인생은 실전이다,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791197549304,"['무료배송', '소득공제']","도서16,650원[10%↓ +5% 적립]|eBook12,900원","지금 주문하면내일(22일,금)도착 예정입니다",주언규신영준,상상스퀘어,2021년09월08일
2,3,철학이 우리 인생에 스며드는 순간,소크라테스 익스프레스,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791190030922,"['무료배송', '이벤트', '오늘의책', 'sam', '소득공제']","도서16,200원[10%↓ +5% 적립]|eBook12,500원","지금 주문하면내일(22일,금)도착 예정입니다",에릭와이너,어크로스,2021년04월28일
3,4,단골손님을 찾습니다,달러구트 꿈 백화점. 2,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791165343729,"['무료배송', '이벤트', '오늘의책', '소득공제']","도서12,420원[10%↓ +5% 적립]|eBook9,660원","지금 주문하면내일(22일,금)도착 예정입니다",이미예,팩토리나인,2021년07월27일
4,5,주문하신 꿈은 매진입니다,달러구트 꿈 백화점,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791165341909,"['무료배송', '이벤트', 'MD의 선택', 'sam', '소득공제']","도서12,420원[10%↓ +5% 적립]|eBook9,100원","지금 주문하면내일(22일,금)도착 예정입니다",이미예,팩토리나인,2020년07월08일
5,6,,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791191043297,"['무료배송', '이벤트', 'MD의 선택', 'sam', '소득공제']","도서12,600원[10%↓ +5% 적립]|eBook10,000원","지금 주문하면내일(22일,금)도착 예정입니다",이치조미사키,모모,2021년06월28일
6,7,한강 장편소설,작별하지 않는다,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788954682152,"['무료배송', '이벤트', '오늘의책', '소득공제']","도서12,600원[10%↓ +5% 적립]|eBook9,800원","지금 주문하면내일(22일,금)도착 예정입니다",한강,문학동네,2021년09월09일
7,8,내 안에 잠든 운을 깨우는 7가지 법칙,럭키,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791191891027,"['무료배송', '이벤트', '오늘의책', 'sam', '소득공제']","도서14,400원[10%↓ +5% 적립]|eBook11,200원","지금 주문하면내일(22일,금)도착 예정입니다",김도윤,북로망스,2021년08월25일
8,9,,미드나잇 라이브러리,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791191056556,"['무료배송', '이벤트', '오늘의책', 'sam', '소득공제']","도서14,220원[10%↓ +5% 적립]|eBook12,500원","지금 주문하면내일(22일,금)도착 예정입니다",매트헤이그,인플루엔셜,2021년04월28일
9,10,김호연 장편소설,불편한 편의점,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791161571188,"['무료배송', '이벤트', 'MD의 선택', 'sam', '소득공제']","도서12,600원[10%↓ +5% 적립]|eBook9,800원","지금 주문하면내일(22일,금)도착 예정입니다",김호연,나무옆의,2021년04월20일
10,11,,햇빛은 찬란하고 인생은 귀하니까요: 밀라논나 이야기,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788934985051,"['무료배송', '이벤트', '오늘의책', '소득공제']","도서13,320원[10%↓ +5% 적립]|eBook10,500원","지금 주문하면내일(22일,금)도착 예정입니다",장명숙,김영사,2021년08월18일
11,12,절대 공부를 포기하고 싶지 않은 사람들을 위한 9가지 기술,공부의 본질,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791191825176,"['무료배송', '이벤트', '오늘의책', '한정판매', '소득공제']","도서14,850원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",이윤규,빅피시,2021년10월15일
12,13,후삼국 편: 온달의 기묘한 시간 여행,설민석의 한국사 대모험. 18,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791165382988,"['무료배송', '이벤트', 'MD의 선택', '소득공제']","도서10,800원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",설민석스토리박스,아이휴먼,2021년10월18일
13,14,당신의 모든 것이 메시지다,그냥 하지 말라,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791191211467,"['무료배송', '오늘의책', '소득공제']","도서15,300원[10%↓ +5% 적립]|eBook12,500원","지금 주문하면내일(22일,금)도착 예정입니다",송길영,북스톤,2021년10월05일
14,15,되는 곳만 골라 발 빠르게 투자하는,대한민국 재건축 재개발 지도,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791130640600,"['무료배송', '이벤트', 'MD의 선택', 'sam', '소득공제']","도서17,100원[10%↓ +5% 적립]|eBook13,300원","지금 주문하면내일(22일,금)도착 예정입니다",정지영,다산북스,2021년08월25일
15,16,인생을 리셋하는 혼자 있는 시간의 힘,지금은 나만의 시간입니다,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791158512255,"['무료배송', '이벤트', '오늘의책', '소득공제']","도서13,500원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",김유진,토네이도,2021년10월15일
16,17,소윤 에세이,작은 별이지만 빛나고 있어(10만 부 기념 한정판 에디션),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791197037153,"['무료배송', '이벤트', '오늘의책', 'sam', '소득공제']","도서13,500원[10%↓ +5% 적립]|eBook10,500원","지금 주문하면내일(22일,금)도착 예정입니다",소윤,북로망스,2021년09월29일
17,18,,인간 실격(세계문학전집 103),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788937461033,"['이벤트', 'MD의 선택', '소득공제']","도서7,200원[10%↓ +5% 적립]|eBook5,600원","지금 주문하면내일(22일,금)도착 예정입니다",다이오사무,민음사,2012년04월10일
18,19,히가시노 게이고 장편소설,백조와 박쥐,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791190885928,"['무료배송', '이벤트', '오늘의책', '소득공제']","도서16,200원[10%↓ +5% 적립]|eBook12,600원","지금 주문하면내일(22일,금)도착 예정입니다",히가시노게이고,현대문학,2021년08월16일
19,20,입지의 신 빠숑과 임장의 신 블루999의 투자비법,당신만 몰랐던 부동산 투자(반양장),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791168210028,"['무료배송', '이벤트', 'MD의 선택', '소득공제']","도서16,020원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",김학렬(빠숑)김우람(블루999),베가북스,2021년10월20일
